,ricsp,RICSEXPSALSAP,RICSNBESAP,RICSNISSAP,RICSASSA
May-16,19.8,0.521962704,-27.2381403,-23.73165843,-19.65469628
Jun-16,18.4,-27.86890876,-34.27462973,-45.33371647,-32.0496122
Jul-16,17.1,0.536702275,-25.7017897,-27.50085716,-30.47655469
Aug-16,17.1,15.70697283,-6.086064194,-6.515157971,-1.516214201
Sep-16,16.9,24.10353597,8.019308465,-12.10684595,5.434262362
Oct-16,16.7,20.65506039,9.952328428,-3.43712038,4.99360959
Nov-16,17.5,13.91881187,7.174602075,-3.630258079,4.916375862
Dec-16,17.4,3.457799327,0.003597783,-7.884640012,-4.756157303
Jan-17,16.8,16.41766299,4.152557772,-10.4332489,-3.528885291
Feb-17,17.1,13.66326924,3.384866,-7.469643762,4.756211929
Mar-17,16.8,12.23962432,6.556285203,-6.849921844,3.082523936
Apr-17,16.9,4.047475956,0.043659324,-10.69918871,-5.198829502
May-17,17.0,8.820938183,-10.69478574,-21.88252985,-5.372708643
Jun-17,17.2,2.799554838,-13.86038114,-26.36841468,-6.961637203
Jul-17,16.9,0.590749737,-10.82434506,-15.54625341,-9.828343123
Aug-17,16.8,11.00118751,-10.77090864,-6.668482912,-9.241452794
Sep-17,16.7,0.549754752,-19.9599993,-6.072725777,-15.69872882
Oct-17,16.1,-7.59326311,-19.14720171,-15.09221581,-21.43925327
Nov-17,15.5,2.426050085,-5.353489352,-8.792643639,-11.13659763
Dec-17,15.3,2.79976542,-18.00767868,-12.63857469,-16.44884631
Jan-18,15.6,7.985262306,-4.568105413,-10.56789622,-6.647929521
Feb-18,15.2,8.788414271,-3.513952047,-11.37277804,-9.364571381
Mar-18,14.9,6.275707773,-9.658905303,-8.714042362,-12.86789595
Apr-18,15.3,3.717554557,0.092981665,4.715486824,1.730521157
May-18,15.0,3.896734519,-7.593339641,5.601339505,0.397867859
Jun-18,15.0,2.656808445,-10.90698623,-5.71861144,-13.0867575
Jul-18,15.1,-4.766760355,-8.472692471,-13.43497167,-7.146126604
Aug-18,14.8,-3.764660861,-18.27905118,-24.44914333,-19.36821318
Sep-18,14.6,-15.2204082,-9.180061889,-7.806671131,-8.685775658
Oct-18,13.8,-11.0832789,-14.06231006,-13.06662947,-10.34331126
Nov-18,13.8,-23.32318335,-21.18650148,-25.54372232,-14.79401097
Dec-18,13.6,-22.59135853,-20.94859031,-24.5235696,-16.34026323
Jan-19,13.2,-27.4872332,-27.14528925,-18.92122493,-20.62516748
Feb-19,13.2,-26.40991363,-26.44036637,-20.06176309,-20.80714184
Mar-19,13.0,-19.76124779,-18.35630807,-21.72472495,-17.87574727
Apr-19,13.0,-8.28248344,-22.19827346,-23.16270278,-18.31078849
May-19,13.3,-10.1993443,-2.559782461,-5.158809095,-7.783017453
Jun-19,12.9,1.954704379,1.154273487,-10.10119642,-2.415795348
Jul-19,13.3,-10.69393189,-4.649984571,-12.35136671,-12.00426137
Aug-19,13.1,-21.91593751,-8.793600875,-12.48128376,-18.3482863
Sep-19,12.8,-6.941857077,-17.91303359,-35.63166922,-29.18214298
Oct-19,12.0,1.856094006,-16.58466977,-31.2134359,-19.42603426
Nov-19,12.8,12.47284657,-3.954695407,-9.051169585,-4.16910628
Dec-19,13.1,38.94159865,17.060118,6.847511789,9.810274381
Jan-20,14.3,39.4090322,35.15257996,31.44209149,29.3193701
Feb-20,15.9,23.28787682,28.83289441,19.51153482,29.19768695
Mar-20,13.4,-95.31595403,-77.11843928,-72.81190203,-72.59030488
Apr-20,7.2,-62.47841168,-97.78173928,-96.62308249,-93.39409107
May-20,7.0,-1.05185496,-5.214163916,-14.23337291,-30.8893227
Jun-20,9.6,18.22738359,58.93883573,38.94364306,44.01836945
Jul-20,12.5,22.02575981,76.08698672,56.10975957,60.68954538
Aug-20,14.4,21.91341965,58.74752042,43.211024,55.53938687
Sep-20,15.2,12.06617211,46.26939963,36.67919172,48.52159024
Oct-20,18.2,13.91384955,40.08141508,23.08475628,37.46640205
Nov-20,19.3,-3.466217388,25.85488628,10.39695265,26.76928016
Dec-20,19.5,-13.56502873,15.69144075,2.133112959,21.47144426
Jan-21,18.4,-27.25100336,-24.6281981,-37.60231664,-15.73891915
Feb-21,19.1,10.89005445,0.437062616,-28.72872553,6.014950771
Mar-21,20.6,28.15364488,36.90765591,14.62469896,38.10664873
Apr-21,21.5,15.20398784,35.30124852,-3.834860861,28.86448185
May-21,21.6,3.308153139,21.69072857,-25.87960606,17.02828724
Jun-21,21.6,-0.947968322,13.48682286,-36.5974701,0.967194342
Jul-21,20.5,6.720244953,-7.401234738,-43.98483923,-23.85505501
Aug-21,19.8,7.541341377,-7.300489019,-29.78326614,-15.13471237
Sep-21,19.1,11.68425232,3.863466949,-29.71894861,-10.68814548
Oct-21,18.1,14.6870777,17.53577858,-16.83645103,-0.219425999
Nov-21,17.6,17.39483752,11.38759572,-16.82271604,-4.716972064
Dec-21,16.6,21.48140163,8.470818565,-8.474994519,-6.147695783
Jan-22,17.6,22.67163403,15.69096745,-2.194254218,4.034144747
Feb-22,18.9,10.10805076,9.089307445,-6.335949759,4.165855484
Mar-22,18.5,5.250910056,-2.509020604,3.177341145,-0.592056037
Apr-22,19.2,2.369616917,1.498654951,-6.217904794,-11.77414423
May-22,18.0,-8.457528359,-17.57018558,-7.0938878,-13.51054267
Jun-22,17.5,-9.104580226,-22.41143395,-4.845701718,-14.43604818
Jul-22,16.6,-17.08203112,-20.34758921,-2.832983647,-10.4690113
Aug-22,15.6,-25.31407671,-32.07635096,-8.862435678,-18.18976549
Sep-22,15.1,-31.41258836,-32.06074643,-10.189864,-25.67156582
Oct-22,14.3,-36.90148182,-50.21569349,-15.83325887,-41.79963015
Nov-22,13.9,-44.66450073,-37.85708629,-8.82528832,-34.41887314
Dec-22,13.3,-50.29990982,-39.73567306,-20.64809884,-37.61821305
Jan-23,13.3,-44.13001277,-44.33693177,-10.14349954,-33.3410959
Feb-23,13.1,-43.44293644,-31.26232889,-4.528632217,-25.24140381
Mar-23,12.4,-30.65349427,-31.08805344,-5.880273994,-31.62904647
Apr-23,12.4,-20.12910932,-38.62431799,-5.648687137,-22.54638419
May-23,13.8,-11.23832587,-21.60682952,11.70165062,-10.01584831
Jun-23,12.8,-38.84838718,-46.2795874,-6.07291405,-37.76150325
Jul-23,12.4,-44.68066264,-44.48313291,-16.28677002,-45.16951615
Aug-23,12.1,-35.14363399,-44.66800086,-24.6919716,-44.5553269
Sep-23,12.7,-19.8965988,-35.5270113,-14.3390539,-33.52244921
Oct-23,13.2,-16.29735562,-24.87230251,-5.39471066,-22.59027758
Nov-23,13.9,6.668059603,-13.01461758,-3.4,-10.2424908
Dec-23,14.9,12.35982231,-2.8,1.8,-5.3
Jan-24,16.0,14.0,6.7,11.3,5.3
